Restaurants,address,city,ratings,prices,cuisines,Meal_Type,Restaurant_offer_percentage,Online_payment_offer_percentage
Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani,"DLF Mall of India, Sector 18, Noida",Noida,4.3,1800,North Indian,Lunch,25,0
PLATE,"DLF Promenade Mall, Vasant Kunj",Vasant Kunj,4.5,2500,Multicuisine,Lunch,25,0
Zing ,"The Metropolitan Hotel & Spa, New Delhi",Delhi,1.0,3500,Multicuisine,Lunch,25,25
Fifty9 ,"Radisson Blu Marina, New Delhi",Delhi,4.4,2500,Multicuisine,Lunch,35,25
Hard Rock Cafe,"Connaught Place (CP), Central Delhi",Delhi,4.0,1500,Multicuisine,Lunch,35,25
Sakura ,"The Metropolitan Hotel & Spa, New Delhi",Delhi,4.0,4500,"Japanese, Sushi",Lunch,25,25
"Chutney, Bar + Tandoor ","The Metropolitan Hotel & Spa, New Delhi",Delhi,3.5,3000,Indian,Lunch,25,25
Desi Villagio,"Connaught Place (CP), Central Delhi",Delhi,4.1,1300,Indian,Lunch,35,25
" MIST, THE Park New Delhi","The Park, New Delhi",Delhi,4.0,2500,Multicuisine,Lunch,35,25
Vega,"Hotel Alka Classic, New Delhi",Delhi,4.2,1700,North Indian,Lunch,30,25
Lazeez Affaire,"Connaught Place (CP), Central Delhi",Delhi,4.3,1600,North Indian,Lunch,20,25
Baluchi ,"The Lalit, New Delhi",Delhi,4.0,2500,North Indian,Lunch,30,25
The Great Kabab Factory,"Radisson Blu Marina, New Delhi",Delhi,4.2,2600,"North Indian, Kababs",Lunch,30,25
Aqua,"The Park, New Delhi",Delhi,3.9,2800,Multicuisine,Lunch,35,25
24/7 Restaurant ,"The Lalit, New Delhi",Delhi,4.2,3000,Multicuisine,Lunch,30,25
The Immigrant Cafe,"Connaught Place (CP), Central Delhi",Delhi,4.3,1200,Multicuisine,Lunch,30,25
Dr. Zombie,"Connaught Place (CP), Central Delhi",Delhi,4.3,1000,"Italian, Cocktail Menu",Lunch,30,25
The Darzi Bar & Kitchen,"Connaught Place (CP), Central Delhi",Delhi,3.7,1500,Multicuisine,Lunch,35,25
Biryani By Kilo,"Connaught Place (CP), Central Delhi",Delhi,4.6,700,Biryani,Lunch,20,25
Cafe Out of the Box Courtyard,"Connaught Place (CP), Central Delhi",Delhi,3.9,1200,Multicuisine,Lunch,30,25
Plum Coffee & Cocktails,"Connaught Place (CP), Central Delhi",Delhi,4.3,2000,Multicuisine,Lunch,30,25
Xero Courtyard,"Janpath, Connaught Place (CP), Central Delhi",Delhi,4.2,1000,Multicuisine,Lunch,50,25
Openhouse Cafe,"Connaught Place (CP), Central Delhi",Delhi,4.2,2000,Multicuisine,Lunch,30,25
Duty Free Vayu Bar,"Rajouri Garden, West Delhi",Delhi,4.4,1500,"Cocktail Menu, Multicuisine",Lunch,50,25
Nero,"Le Meridien, New Delhi",Delhi,3.5,3000,Cocktail Menu,Lunch,25,25
Longitude,"Le Meridien, New Delhi",Delhi,3.2,2000,Fast Food,Lunch,25,25
Local,"Connaught Place (CP), Central Delhi",Delhi,4.1,1200,Multicuisine,Lunch,15,25
Lord of the Drinks,"Connaught Place (CP), Central Delhi",Delhi,4.2,1800,"Cocktail Menu, Multicuisine",Lunch,20,25
Chido,"Connaught Place (CP), Central Delhi",Delhi,3.9,1800,"Cocktail Menu, Multicuisine",Lunch,30,25
